Wind;PV_rt
0,038689;0,042195947
0,038689;0,034313463
0,038689;0,062035074
0,038689;0,045473574
0,038689;0,078402016
0,038689;0,060703026
0,038689;0,077344468
0,038689;0,104714526
0,038689;0,085684453
0,038689;0,099580895
0,046033;0,159980526
0,080306;0,082056237
0,08459;0,098637
0,080306;0,096068258
0,046033;0,124151053
0,038689;0,108663474
0,037508;0,076308111
0,018623;0,060010516
0,012131;0,073131616
0,012131;0,072223358
0,012131;0,047349805
0,012131;0,165489789
0,012131;0,057741316
0,012131;0,037545821
0,012131;0,0130845
